rel_week,att,ci_lo,ci_hi
-8,-0.014764396170747235,-0.050211514136248324,0.022274206383658218
-7,0.01270360274397906,-0.022722307344134364,0.04884504367976441
-6,-0.00599223470268426,-0.03355153736024913,0.026017408289695575
-5,0.010415143598464044,-0.02030316842755751,0.0425445300899181
-4,0.03039921426184779,-0.017885462301485223,0.07491692199041333
-3,0.025286969968677384,-0.019836961957169753,0.07557751624464916
-2,0.01099769633332199,-0.020809271613573606,0.04849517431375549
-1,0.0,0.0,0.0
0,-0.009666485457812507,-0.030754780068778582,0.007493522881959859
1,0.023227343519022572,-0.02176672801496631,0.07010318510204774
2,0.011845892599858732,-0.028505278504854747,0.06229070206312372
3,-0.0007652246814478562,-0.0462141221649877,0.05467205518618754
4,8.535024028082276e-05,-0.03337886148501333,0.034261704450117204
5,-0.0034878539754095526,-0.04069292373458632,0.03604675219540921
6,-0.016641183034933123,-0.057631772677871396,0.02105884379744398
7,-0.0006193472669705399,-0.04273755606878742,0.04456720019675188
8,-0.017791381982488426,-0.06681996610698773,0.030398768053828847
