rel_week,coef,se,pval,ci_lo,ci_hi
-8,1.3218309220585875,0.3555615806102576,0.00020113515123894115,0.6249302240624827,2.0187316200546923
-7,1.1651703639118929,0.307211090560988,0.0001489969237564024,0.5630366264123564,1.7673041014114292
-6,0.9452550122401076,0.25669160865881196,0.0002309996608608541,0.44213945926883613,1.448370565211379
-5,0.7809483281439812,0.20501278769342327,0.00013937970859558203,0.3791232642648716,1.1827733920230907
-4,0.6077296981265055,0.15697392680130934,0.00010815312361250766,0.3000608015959392,0.9153985946570717
-3,0.4039693870813989,0.09775542175860241,3.5891694860807035e-05,0.21236876043453817,0.5955700137282596
-2,0.20502108123894427,0.05198268009648999,8.012471204571228e-05,0.10313502824982389,0.30690713422806465
-1,0.0,0.0,,0.0,0.0
0,-0.19150891490800415,0.052367885227557955,0.0002551927680184906,-0.29414996995401776,-0.08886785986199056
1,-0.38478310774562574,0.10380763334946785,0.00020998259041727293,-0.5882460691105827,-0.18132014638066876
2,-0.5608504951916733,0.1547579244041877,0.000290025215008178,-0.8641760270238812,-0.2575249633594654
3,-0.7446551003388555,0.20664813556701728,0.0003139692631570279,-1.1496854460502095,-0.33962475462750163
4,-0.9324652137748849,0.257328627868439,0.0002904906360182062,-1.4368293243970254,-0.4281011031527444
5,-1.1277119855055016,0.30966167927138283,0.0002707856623320289,-1.734648876877412,-0.5207750941335912
6,-1.3492153322264702,0.36009042029681304,0.00017904820404102023,-2.054992556008224,-0.6434381084447166
7,-1.5045131359936565,0.41427963902257314,0.0002816294231632898,-2.3165012284779,-0.6925250435094132
8,-1.7125468174608494,0.4620745396240854,0.00021038111509490728,-2.6182129151240567,-0.806880719797642
